date,percentile,variable,income
2024,1,mean,1334
2024,2,mean,1683
2024,3,mean,1906
2024,4,mean,2085
2024,5,mean,2230
2024,6,mean,2369
2024,7,mean,2498
2024,8,mean,2609
2024,9,mean,2723
2024,10,mean,2835
2024,11,mean,2935
2024,12,mean,3033
2024,13,mean,3120
2024,14,mean,3211
2024,15,mean,3307
2024,16,mean,3400
2024,17,mean,3490
2024,18,mean,3585
2024,19,mean,3677
2024,20,mean,3769
2024,21,mean,3863
2024,22,mean,3967
2024,23,mean,4076
2024,24,mean,4173
2024,25,mean,4274
2024,26,mean,4376
2024,27,mean,4478
2024,28,mean,4578
2024,29,mean,4685
2024,30,mean,4791
2024,31,mean,4891
2024,32,mean,5000
2024,33,mean,5098
2024,34,mean,5197
2024,35,mean,5298
2024,36,mean,5401
2024,37,mean,5507
2024,38,mean,5609
2024,39,mean,5708
2024,40,mean,5810
2024,41,mean,5907
2024,42,mean,6037
2024,43,mean,6193
2024,44,mean,6337
2024,45,mean,6449
2024,46,mean,6559
2024,47,mean,6668
2024,48,mean,6774
2024,49,mean,6872
2024,50,mean,6970
2024,51,mean,7095
2024,52,mean,7282
2024,53,mean,7453
2024,54,mean,7612
2024,55,mean,7753
2024,56,mean,7885
2024,57,mean,8019
2024,58,mean,8204
2024,59,mean,8398
2024,60,mean,8529
2024,61,mean,8673
2024,62,mean,8813
2024,63,mean,8954
2024,64,mean,9112
2024,65,mean,9264
2024,66,mean,9426
2024,67,mean,9591
2024,68,mean,9768
2024,69,mean,9985
2024,70,mean,10195
2024,71,mean,10370
2024,72,mean,10542
2024,73,mean,10720
2024,74,mean,10886
2024,75,mean,11071
2024,76,mean,11273
2024,77,mean,11484
2024,78,mean,11844
2024,79,mean,12232
2024,80,mean,12556
2024,81,mean,12787
